vulnerable	傷つきやすい／もろい／弱い立場の
originate	始まる／起源を持つ／生み出す
starve	飢える／ひどく空腹である
commission	委員会／手数料／任命・委託／委任する
ruin	台無しにする／滅ぼす／廃墟・破滅
illustrate	例示する／図解する／説明する
primitive	原始的な／未発達な
tremendous	とてつもなく大きい／すごい
carve	彫る／刻む／切り分ける
decent	ちゃんとした／まともな／かなり良い
trait	特徴／特性
outsource	外注する／アウトソーシングする
compound	混合物／複合体／複合の／混合する
durable	耐久性のある／長持ちする
degrade	品位を落とす／劣化させる／環境を悪化させる
medieval	中世の
steep	急な／険しい／（値段などが）高すぎる
displace	追い出す／取って代わる／移動させる
enrich	豊かにする／強化する
chore	雑用／面倒な仕事
rebellion	反乱／反抗
replicate	複製する／再現する
consent	同意／承諾／同意する
identical	全く同じ／同一の
embrace	抱きしめる／受け入れる／取り入れる
genuine	本物の／心からの／誠実な
stray	道に迷う／はぐれる／迷い出た
retrieve	取り戻す／回収する／検索する
draft	下書き／草案／徴兵／下書きする
bachelor	独身男性／学士
downfall	没落／失脚／破滅
crucial	極めて重要な／決定的な
bump	ぶつかる／コツンと当たる／こぶ・でっぱり
surrender	降伏する／譲り渡す／降伏
enclose	同封する／囲む・取り囲む
graphic	生々しい／図解の／グラフィックの
shield	盾／防御／守る・保護する
ritual	儀式／お決まりの行為
discriminate	差別する／識別する
suite	一続きの部屋／スイートルーム／一式
steer	操縦する／進路を取る／導く
equivalent	同等の／同価値の／同等のもの
seal	封をする／密閉する／アザラシ／封印
trace	跡／痕跡／たどる／わずかな〜
fraud	詐欺／詐欺師／詐欺行為
pioneer	開拓者／先駆者／開拓する
vanish	消える／姿を消す
ethnic	民族の／人種的な
hurdle	ハードル／障害
depart	出発する／去る
ripen	熟す／熟させる
brisk	きびきびした／活発な／（天気が）さわやかな
slump	急に落ち込む／不振になる／不況・スランプ
venture	冒険的事業／ベンチャー／思い切って〜する
furious	激怒した／猛烈な
impede	妨げる／遅らせる
transition	移り変わり／変化・過渡期
subjective	主観的な
insult	侮辱する／侮辱
nourish	栄養を与える／育てる
impose	課す／押しつける
curse	のろい／悪態／のろう
blurry	ぼやけた／はっきりしない
successor	後継者／後任者
renovate	改装する／リフォームする
flaw	傷／欠点／欠陥
parallel	平行な／類似した／平行線・類似物
maternity	母性の／妊産婦用の
anthem	賛歌／国歌
deprive	奪う／取り上げる
insane	正気でない／狂気の／常軌を逸した
asset	資産／貴重な存在・強み
obscure	わかりにくい／曖昧な／無名の／覆い隠す
disgust	嫌悪感を起こさせる／むかつかせる／嫌悪
intimate	親密な／私的な／ほのめかす
scratch	引っかく／傷をつける／ひっかき傷
legacy	遺産／受け継いだもの
summit	頂上／首脳会談
vibrant	活気に満ちた／鮮やかな
exclaim	叫ぶ／声を上げる
sprain	捻挫する／捻挫
lump	こぶ／塊／ひとまとめにする
plentiful	豊富な／たくさんの
inhale	吸い込む／吸入する
muddy	泥だらけの／濁った
devise	考案する／工夫する
incidence	発生（率）／起こり方
impassable	通れない／通行不能の
nosy	詮索好きな／おせっかいな
erect	直立した／建てる・組み立てる
damp	湿った／湿気のある
empower	権限を与える／力を与える
confession	告白／自白
spectacle	壮観／見もの／眼鏡（spectacles）
attentive	注意深い／よく気がつく
conviction	有罪判決／確信／信念
vacuum	真空／空白状態／掃除機
rally	集会／結集／立て直す・元気を取り戻す
snatch	ひったくる／さっとつかむ／ひったくり
torch	たいまつ／懐中電灯（英）
fussy	細かいことにうるさい／好き嫌いの激しい
emigration	移住（他国への移住）
diagonally	斜めに
salute	敬礼する／敬意を表する／敬礼
recollect	思い出す／回想する
hostage	人質
comrade	仲間／同志
partition	仕切り／分割／分ける
slant	傾斜／傾き／偏見／傾ける
curb	抑制する／歩道の縁石
deformity	奇形／ゆがみ
crouch	しゃがむ／うずくまる
immeasurable	計り知れない／非常に大きい
agitate	動揺させる／扇動する／かき混ぜる
recede	後退する／遠のく
crisp	パリッとした／カリッとした／（空気が）さわやかな
frantic	取り乱した／必死の
editorial	社説／編集上の
execute	実行する／処刑する
pinpoint	正確に指摘する／正確な
adorable	とても可愛らしい／愛らしい
deflect	そらす／方向を変えさせる
crude	粗末な／雑な／未精製の／粗野な
intersect	交差する
dazed	茫然とした／ぼうっとした
console	慰める／コンソール（操作盤）
spiteful	意地悪な／悪意のある
sanction	制裁／認可／制裁する／承認する
influx	流入／殺到
scrap	廃棄する／くず鉄・廃材／小さな断片
ditch	溝／捨てる・見捨てる／（乗り物が）不時着する
relay	中継する／リレーする／中継・リレー
illogical	非論理的な／筋が通らない
discharge	放出する／解放する／解雇する／退院・退役させる
charm	魅力／お守り／魅了する
hinge	蝶番／〜次第である（hinge on〜）
supreme	最高の／至上の
invisible	目に見えない／不可視の
spark	火花／きっかけ／引き起こす
analogy	類推／類似
gradation	段階的変化／グラデーション
superficial	表面的な／浅い
bearable	耐えられる／我慢できる
sinister	不吉な／邪悪な／不気味な
lean	傾く／もたれる／痩せた／脂肪の少ない
glorify	美化する／賛美する
breadth	幅／広がり
chaotic	混沌とした／無秩序な
dutiful	義務に忠実な／親孝行な
sincerity	誠実さ／真心
restless	落ち着かない／そわそわした
stack	積み重ね／山／積み重ねる
shred	ごく少量／細切れ／ずたずたに裂く
dimension	寸法／側面・要素／次元
aimlessly	あてもなく／目的もなく
rejoice	喜ぶ／大喜びする
wrinkle	しわ／しわを寄せる
despise	軽蔑する／見下す
exterminate	全滅させる／根絶する
choke	息が詰まる／窒息させる
splinter	とげ／木片／バラバラに割る・割れる
immense	莫大な／とてつもなく大きい
glossy	つやつやした／光沢のある
brace	備える／身構える／支え・補強具
blast	爆発／突風／爆破する
mellow	まろやかな／落ち着いた／熟成した
liable	〜しがちな／〜の責任がある
inclination	傾向／好み／意向
redeem	償う／取り戻す／（クーポンなどを）引き換える
depot	倉庫／貯蔵所／（バスなどの）車庫・駅
plural	複数形（の）
forsake	見捨てる／あきらめる
retrace	引き返す／（足跡などを）たどり直す
naive	世間知らずの／素朴な／単純な
uptight	ピリピリした／神経質な／堅苦しい
ornament	飾り／装飾品／飾る
inhibit	抑制する／抑える／妨げる
smash	粉々にする／激しく壊す／大成功・完敗
modest	控えめな／謙虚な／質素な／（量が）さほど多くない
hardy	たくましい／丈夫な／（寒さなどに）強い
entitle	〜に資格を与える／題名をつける
taint	汚す／悪くする／汚点・不名誉
striking	目立つ／印象的な／顕著な
indulgent	甘い／寛大な／好きなことをさせる
discreet	慎重な／思慮深い
incurable	不治の／直しようのない
complement	補完物／補うもの／補う
unsound	健全でない／信頼できない／根拠の薄い
wield	振るう／使いこなす（権力・武器など）
dislocate	脱臼させる／位置をずらす・乱す
pledge	誓約／公約／誓う・約束する
gargle	うがいする／うがい薬
contempt	軽蔑／侮り
aggravate	悪化させる／いらだたせる
horrify	ぞっとさせる／恐怖を与える
vulgar	下品な／品のない／俗悪な
cordial	心のこもった／温かい
drift	漂う／流される／漂流・漂い
circuit	回路／一周／巡回
blueprint	青写真／設計図／計画
vault	金庫室／地下室／アーチ型天井／跳ぶ
ratio	比率
dismayed	うろたえた／がっかりした
trim	整える／刈り込む／装飾／すっきりした
ignition	点火／点火装置
insight	洞察／洞察力
dismantle	分解する／取り壊す
indefinite	はっきりしない／期限のない
cunning	ずる賢い／狡猾な／巧みな
scorn	軽蔑（する）
commencement	開始／（米）卒業式
deteriorate	悪化する／悪化させる
pathetic	哀れな／情けない
scrape	こする／こすり取る／かすり傷
perimeter	周囲／周辺境界線
transcription	書き写し／転写／文字起こし
chunk	塊／大きな部分
humble	謙虚な／質素な／身分の低い／謙虚にさせる
simmer	ことこと煮る／くすぶる
monotonous	単調な／変化のない
swift	素早い／迅速な
premature	早すぎる／早産の／時期尚早の
infinite	無限の／限りない
deploy	（軍隊などを）展開する／配置する／活用する
sterile	不毛の／殺菌された／子どもができない
maze	迷路／込み入った状況
dreary	陰鬱な／退屈な／どんよりした
eject	追い出す／追い払う／排出する
fluent	流暢な／すらすら話せる
disown	自分と関係ないと言う／（親子の）縁を切る
attendant	付き添い／係員／付随する
vigilant	油断のない／警戒している
cumulative	累積的な／累積した
enchant	うっとりさせる／魅了する
candid	率直な／ざっくばらんな／（写真が）自然な
jumble	ごちゃまぜにする／ごちゃまぜ／乱雑なもの
momentary	一瞬の／つかの間の
miniature	小型の／ミニチュア
outpace	〜をしのぐ／〜より速く進む
decline	減少する／衰退する／（丁寧に）断る
reveal	明らかにする／見せる・暴く
associate	関連づける／仲間／同僚
confirm	確認する／裏づける
renew	更新する／新たにする／再開する
predict	予測する／予言する
conflict	対立／衝突／矛盾／対立する
imply	暗示する／ほのめかす
restrict	制限する／限定する
circumstance	状況／事情／環境
symptom	症状／兆候
regulate	規制する／調整する／管理する
emphasize	強調する
identify	特定する／身元を確認する／同一視する
reliable	信頼できる／頼りになる
monitor	監視する／見守る／モニター
update	最新の状態にする／更新（情報）
contrast	対比／対照／対照をなす
appropriate	適切な／ふさわしい
adapt	適応する／改作する／順応させる
genetic	遺伝子の／遺伝的な
upgrade	改良する／グレードアップする／格上げ
commit	犯す（罪など）／（真剣に）取り組む／委ねる
breed	繁殖させる／育てる／品種
inspire	刺激する／ひらめきを与える／感動させる
livestock	家畜
exposure	さらされること／露出／暴露
surrounding	周囲の／周囲の環境
secure	安全な／確保する／手に入れる
federal	連邦（政府）の
commute	通勤する／通学する
aggressive	攻撃的な／積極的な
sufficient	十分な
settlement	解決／和解／定住地／清算
emerge	現れる／台頭する／（問題などが）明らかになる
sophisticated	洗練された／高度な／教養のある
undergo	経験する／受ける（手術・試験など）
revenue	収入／歳入
disorder	無秩序／混乱／（心身の）障害・不調
relevant	関連のある／適切な
overlook	見落とす／見逃す／見渡す
negotiate	交渉する／取り決める
inhabitant	住民／居住者
prohibit	禁止する
witness	目撃者／証人／目撃する
likelihood	可能性／見込み
vital	極めて重要な／生命維持に必要な／活気のある
proponent	支持者／提唱者
dump	投棄する／どさっと捨てる／ごみ捨て場
refund	払い戻し／払い戻す
scan	ざっと目を通す／スキャンする／じっと見る
stimulate	刺激する／活性化する
context	文脈／状況・背景
massive	巨大な／大規模な
reproduce	再生産する／複製する／繁殖する
council	評議会／議会／協議機関
lobby	ロビー／圧力団体／働きかける
inject	注射する／注入する
remarkable	注目すべき／驚くべき
infrastructure	社会基盤／インフラ
extract	抜き出す／抽出する／取り出したもの・抽出物
plot	筋／構想／陰謀／区画／たくらむ
innovation	革新／新機軸／新しいアイデア
distinct	はっきり異なる／明確な
extinct	絶滅した／消滅した
personnel	職員／人員／人事部
shallow	浅い／浅はかな
portion	一部／分け前／（食べ物の）一人前
advocate	擁護する／主張する／擁護者
vessel	容器／器／船／血管
crawl	はう／四つんばいで進む／のろのろ進む
era	時代／〜時代
drain	排出する／流出させる／疲れさせる／排水口
motive	動機／理由
remedy	治療法／改善策／治す・改善する
rivalry	競争／対抗関係
fraction	一部／分数／わずか
minimal	最小限の／ごくわずかな
grain	穀物／粒／木目
legitimate	合法の／正当な
revise	改訂する／見直す
activate	作動させる／活性化する
abuse	乱用／虐待／乱用する・虐待する
celebrity	有名人／名声
recession	不況／景気後退
vomit	吐く／吐き出す／嘔吐
scheme	計画／たくらみ／陰謀／計画を立てる
closure	閉鎖／終結
retain	保持する／保つ
cautious	用心深い／慎重な
viable	実行可能な／生存可能な
terrain	地形／地帯
toll	通行料／（被害・死傷者などの）数
agenda	議題／議事日程
desperate	必死の／絶望的な／切実な
hatch	孵化する／（計画などを）企てる／ハッチ・小扉
surveillance	監視／見張り
colonize	植民地化する／定住する
confidential	機密の／内密の
breakup	別れ／解体・分裂
corridor	廊下／通路
utility	公共事業（ガス・水道など）／実用性
specimen	標本／見本
input	入力／意見・情報の提供
infamous	悪名高い／不名誉な
publicity	宣伝／注目・評判
currency	通貨／普及・流通
undermine	弱体化させる／徐々に傷つける
sweep	掃く／さっと通り過ぎる／一掃する
horizontal	水平の／横向きの
torture	拷問する／ひどく苦しめる
descent	下降／血統・家系
alienate	遠ざける／疎外する
submerge	水中に沈める／沈む
errand	お使い／用足し
commodity	商品／生活必需品
outburst	（感情などの）爆発／激発
comparable	同程度の／比較できる
compile	（資料などを）まとめる／編集する
inception	始まり／発端
aquatic	水生の／水の
grind	挽く／すりつぶす／こつこつやる
upheaval	大変動／激変
feast	ごちそう／宴会／ごちそうする
scope	範囲／（活動の）幅・余地
burden	重荷／負担／負担をかける
cram	詰め込む／詰め込み勉強をする
assault	暴行／攻撃／襲う
acoustic	音響の／アコースティックの
enact	制定する（法律など）／演じる
contend	主張する／争う
rubbish	ごみ／くだらないもの・こと
projection	予測／投影／映写
generosity	寛大さ／気前のよさ
cooperative	協力的な／協同組合
cater	料理をまかなう／ニーズに応じる
ruthless	無慈悲な／容赦ない
induce	誘発する／説得して〜させる
disregard	無視する／軽視する／無視・軽視
recess	休憩時間／休会／くぼみ
wholesome	健康によい／健全な
communal	共同の／地域社会の
freight	貨物／貨物輸送
irreversible	元に戻せない／取り返しのつかない
variable	変わりやすい／可変の／変数
formalize	正式な形にする／形式化する
proportion	割合／部分／均衡・つり合い
sensation	感覚／大評判・センセーション
terminate	終わる／終わらせる／打ち切る
exploit	不当に利用する・搾取する／功績・偉業
antiquity	古代／古物
centralize	集中させる／一元化する
sympathize	同情する／共感する
anonymous	匿名の／名前を明かさない
influential	影響力の大きい
mumble	ぶつぶつ言う／もごもご話す
partial	部分的な／依怙贔屓する
sanitation	衛生設備／公衆衛生
hail	歓呼して迎える／ひょう・あられ
manipulate	巧みに扱う／操作する・操る
profound	深い／重大な／深遠な
perception	認識／知覚／見方
thesis	論文／主張・命題
pastime	気晴らし／娯楽
swamp	沼地／押し寄せて圧倒する
flock	群れ／群がる・集まる
predate	〜より前から存在する／〜に先行する
phonetic	音声の／発音上の
creditor	債権者
facade	建物の正面／外見・見せかけ
lofty	非常に高い／高尚な／尊大な
rite	儀式／宗教儀礼
devious	ずる賢い／遠回りの／不誠実な
deadlock	行き詰まり／膠着状態
incessant	絶え間ない／ひっきりなしの
beckon	手招きする／誘う
configuration	配置／構成／形状
subtract	差し引く／引き算する
quaint	古風で趣のある／風変わりで面白い
downplay	過小評価する／軽く扱う
erratic	不規則な／気まぐれな
inanimate	生命のない／無生物の
inheritance	相続財産／受け継いだもの（遺産・性質など）
upcoming	今度の／近くやって来る
inclusive	含めての／込みの
breakout	突然の発生／大躍進／脱走
envious	うらやましがっている／ねたましい
ominous	不吉な／不穏な
slam	バタンと閉める／激しく非難する
deem	〜とみなす／〜と考える
solitude	孤独／ひとりきりの状態
garment	衣服／衣類
pinch	つまむ／挟む／窮地・苦境
credibility	信頼性／信用できること
bow	おじぎする／弓／（船の）船首
revitalize	再活性化する／活気を取り戻させる
utterance	発言／発声
conscience	良心
discord	不和／対立・不一致
synthesize	合成する／総合する
juvenile	未成年の／青少年の／未成年者
droop	垂れ下がる／しおれる
numb	まひした／かじかんだ／ぼう然とした
extinguish	消す／消滅させる
scam	詐欺／詐欺行為
backlog	未処理の山／たまった仕事
swap	交換する／取り替え／交換
dissolve	溶かす／溶ける／解散させる
discern	見分ける／識別する／見抜く
rebound	跳ね返る／回復する／跳ね返り
boundless	果てしない／無限の
meditate	瞑想する／深く考える
repel	追い払う／反発させる／不快にさせる
shove	ぐいっと押す／突き飛ばす
fumigate	燻蒸消毒する
majestic	雄大な／荘厳な／堂々とした
upscale	高級な／高所得者向けの
sly	ずる賢い／こっそりした
subsistence	生計／生存（のための最低限の生活）
preliminary	予備の／準備の／予選
stout	がっしりした／丈夫な／太めの
occupancy	入居／占有率
triumph	勝利／大成功／勝利する
ammunition	弾薬／（議論などの）攻撃材料
resilient	弾力のある／立ち直りの早い
sprout	芽を出す／急に伸びる／芽
ensue	続いて起こる／結果として起こる
showdown	最終対決／決着
dialect	方言
setback	後退／挫折／逆風
caption	キャプション／写真などの説明文
amnesty	恩赦／大赦
ferocious	凶暴な／激しい
swerve	急に方向を変える／それる
glimpse	ちらっと見ること／一見
clause	条項／（文法の）節
sphere	球体／領域・範囲
constellation	星座／（関連のある）一団
haunt	出没する／つきまとう
delirious	うわごとを言うほど興奮した／狂乱した
blissful	この上なく幸せな／至福の
eternity	永遠／長い長い時間
abstract	抽象的な／要約／要約する
pretense	ふり／見せかけ
admonish	注意する／忠告する／叱る
incriminate	罪を負わせる／罪があるようにする
vicinity	近辺／付近
enrage	激怒させる
replenish	補充する／再び満たす
chronicle	年代記／年代順に記録する
underfed	栄養不足の／十分食べていない
falsify	改ざんする／偽造する
eerie	不気味な／薄気味悪い
static	静的な／静止した／（ラジオなどの）雑音
envoy	使節／外交使節
immovable	動かない／不動の
amplify	増幅する／拡大する／詳述する
flare	ぱっと燃え上がる／閃光／急な悪化
gratitude	感謝
upturn	好転／上向き
gauge	測る／判断する／計器
disperse	散らす／分散させる／散る
bundle	束／包み／束ねる・まとめる
invincible	無敵の／打ち負かせない
comprise	〜から成る／含む
probe	探る／精査する／（宇宙などの）探査機
paralyze	麻痺させる／機能しなくする
annotation	注釈／注記
tactical	戦術的な／戦術上の
menace	脅威／おびやかすもの／脅かす
detachment	分離／距離を置く姿勢／派遣部隊
gaudy	けばけばしい／派手で趣味の悪い
agonize	苦悩する／悩み抜く
fracture	骨折／ひび／骨折する・割れる
corrode	腐食する／さびつかせる
duplicate	複製する／複製の／写し
holistic	全体論的な／総合的な
dilution	薄めること／希釈
posture	姿勢／態度／構える
rampage	暴れ回る／暴れ回り
stunt	妙技／スタント／成長を妨げる
perspire	汗をかく
sublime	崇高な／荘厳な／（感動が）すばらしい
renounce	放棄する／断念する
referral	紹介／照会
admiration	称賛／感嘆
constraint	制約／束縛
cult	カルト／熱狂的信奉／カルト的な
mundane	日常的な／ありふれた／世俗的な
unravel	解く／解明する／ほどける
ecstatic	有頂天の／大喜びの
inept	不器用な／無能な／場違いな
hypothetical	仮定の／仮想の
empathy	共感
imposing	堂々とした／威厳のある／印象的な
incisive	鋭い／切れ味のある
brag	自慢する／自慢話をする
entice	誘う／引きつける
disdain	軽蔑／軽蔑する
congregate	集まる／集める
improvise	即興で行う／即興演奏・即興スピーチをする
instrumental	役立つ／手段となる／器楽の
transient	一時的な／つかの間の／短期滞在者
subordinate	従属している／下位の／部下
peculiar	奇妙な／特有の
bounce	跳ねる／跳ね返る／跳ね返り
protocol	議定書／儀礼／手順／プロトコル
typify	〜の典型である／特徴づける
manuscript	原稿／手書き原稿
alignment	整列／調整／一致
banish	追放する／追い払う
condemn	非難する／有罪と宣告する
detonate	爆発させる／爆発する
emulate	見習う／競うようにまねる
additive	添加物
gravitate	（自然に）引き寄せられる／〜に向かう
stationary	動かない／静止した
repeal	廃止する／撤回する（法律など）
disprove	誤りだと証明する
utensil	器具／道具（特に台所用品）
adrift	漂流して／目的もなくさまよって
instigate	扇動する／引き起こす
thrust	ぐいっと押す／突き刺す／突き
ignorance	無知／知らないこと
customary	慣習的な／いつもの
blink	まばたきする／点滅する
hereditary	遺伝性の／世襲の
solemn	厳粛な／まじめな
swarm	群れ／群がる
unperturbed	動じない／落ち着き払った
phase	段階／局面
tumble	転ぶ／転げ落ちる／急落する
initiative	主導権／新たな取り組み／イニシアチブ
soothe	なだめる／和らげる
crest	頂上／山頂／（波の）頂
torment	ひどく苦しめる／苦痛・拷問
revoke	取り消す／撤回する
assimilate	同化する／吸収する（知識・文化など）
dispel	追い払う／（不安などを）一掃する
diverge	分岐する／別方向にそれる
condiment	調味料
noble	高貴な／気高い／貴族の
futile	無駄な／無益な
saturate	飽和させる／びしょ濡れにする
eradicate	根絶する／一掃する
overlap	重なる／重ねる／重なり
muddle	ごちゃ混ぜにする／混乱させる
reckon	思う／見なす／計算する
ingest	摂取する／飲み込む
reminiscent	思い出させる／懐かしい感じの
budget	予算／予算を立てる
overall	全体の／総合的な／全体として
illegal	違法の
potential	可能性（のある）／潜在的な
ban	禁止する／禁止
alternative	代わりの／代案／二者択一
address	対処する／演説する／住所
widespread	広範囲にわたる／広く行き渡った
consume	消費する／食べる・飲む
property	財産／不動産／特性
absorb	吸収する／夢中にさせる
facility	施設／設備／能力
invest	投資する
relatively	比較的／相対的に
long-term	長期的な
analyze	分析する
medication	薬／投薬
regarding	〜に関して
beneficial	有益な／ためになる
colleague	同僚
efficient	効率的な／有能な
register	登録する／記録する／レジ
promotion	昇進／販売促進／宣伝
shift	移動／変化／交代勤務／変える
numerous	多数の／たくさんの
candidate	候補者／志願者
criticism	批判／批評
guarantee	保証する／保証
consequently	その結果として／したがって
agricultural	農業の
reduction	削減／縮小
requirement	必要条件／要件
enormous	巨大な／莫大な
session	（活動の）時間／会期／セッション
affordable	手頃な値段の／支払える
lessen	減らす／減る
insurance	保険
oppose	反対する
deposit	預金／頭金／堆積物／預ける・置く
costly	高価な／損失の大きい
domestic	家庭の／国内の／飼いならされた
detect	発見する／感知する
awareness	自覚／意識
strategy	戦略／方針
priority	優先事項／優先権
representative	代表者／代表の／典型的な
outcome	結果／結末
preserve	保存する／守る
luxury	ぜいたく／高級品
reminder	思い出させるもの／催促
manufacture	製造する／製造
extend	伸ばす／延長する／広げる
qualified	資格のある／適任の
fossil	化石
corporation	企業／株式会社
mine	鉱山／地雷／採掘する
artificial	人工の／不自然な
landscape	風景／景観
minimum	最小限（の）
executive	重役／経営幹部／執行の
characteristic	特徴／特性／特徴的な
immune	免疫のある／影響を受けない
worsen	悪化する／悪化させる
prey	獲物／犠牲者
applicant	応募者／申請者
toxic	有毒な
intense	強烈な／激しい
productivity	生産性
relocate	移転する／引っ越しさせる
divorce	離婚（する）／切り離す
nonetheless	それにもかかわらず
clue	手掛かり／ヒント
warehouse	倉庫
substantial	かなりの／実質的な
temporary	一時的な／臨時の
supervise	監督する／指揮する
subject	〜の影響を受けやすい／従属している／科目・主題・対象
participation	参加／関与
sensitive	敏感な／繊細な／デリケートな
pottery	陶器／陶芸
overcome	克服する／乗り越える
removal	除去／撤去／解任
crisis	危機
statistics	統計（学）／統計データ
engage	従事する／関わる／引きつける／契約する
opponent	敵／相手／反対者
competitive	競争力のある／競争の激しい
shrink	縮む／縮ませる／減少する
intake	摂取（量）／受け入れ口
ongoing	進行中の／現在行われている
inspection	検査／視察
problematic	問題の多い／厄介な
forbid	禁じる
finance	財政／資金／資金を供給する
theft	窃盗／盗み
primarily	主として／第一に
contribution	貢献／寄付／寄稿
protective	保護的な／保護用の
uncover	明らかにする／覆いを取る
existence	存在／生活
possession	所有（物）
alert	油断のない／警戒した／警報／警告する
hybrid	混成のもの／雑種／ハイブリッド車など
isolate	孤立させる／隔離する
reference	参考／言及／参照
storage	保管／収納／貯蔵
impressive	印象的な／感動的な
wilderness	荒野／手つかずの自然
ultimately	最終的に／結局
satellite	衛星／人工衛星
plantation	大農園／植林地
outbreak	発生／勃発（特に疫病・戦争など）
arise	生じる／起こる／立ち上がる
investigation	調査／捜査
fluid	液体／流体／流動的な
checkup	健康診断／検査
permanently	永久に／恒久的に
debt	借金／負債
equality	平等／均等
moisture	湿気／水分
multiple	複数の／多様な
workforce	労働力／従業員
intensive	集中的な／徹底的な
define	定義する／明確にする
vegetation	植生／草木
fame	名声／評判
row	列／並び／ボートを漕ぐ／口論
urge	強く促す／〜したい欲求
implement	実行する／実施する／道具・器具
due	支払期限の来た／予定の／正当な
behavioral	行動の／行動に関する
leverage	てこの働き／影響力／うまく利用する
bargain	掘り出し物／安売り品／交渉する
populate	住まわせる／住む
incredible	信じられないほどの／すごい
infant	乳児／幼児
overly	過度に／あまりに
premium	保険料／割増料金／高級な
voucher	引換券／商品券／割引券
well-being	健康・幸福・福祉
significance	重要性／意味
approximately	約〜／およそ
routine	決まりきった仕事／日課／日常の
burial	埋葬／葬式
likewise	同様に／同じく
pedestrian	歩行者／歩行者用の／平凡な
bully	いじめる／いじめっ子
strand	１本（の糸・毛など）／取り残す
knowledgeable	よく知っている／博識な
legislation	法律制定／法律
climatic	気候の／気候に関する
sewage	下水／汚水
makeup	化粧／構成／性質
justify	正当化する／理由を説明する
curious	好奇心の強い／奇妙な
cuisine	料理（様式）／料理法
accomplishment	業績／達成／特技
welfare	福祉／幸福／生活保護
revive	復活させる／生き返らせる／回復する
overtake	追い抜く／追い越す／（変化が）突然襲う
counterpart	対応する人・物／相当する相手
retail	小売り（する）
tip	先端／チップ／助言
capability	能力／性能
livelihood	生計／暮らし
workout	運動／トレーニング
questionable	疑わしい／問題のある
straightforward	わかりやすい／率直な
indigenous	先住の／その土地固有の
fortune	財産／幸運／運命
modernization	近代化
profession	職業（専門職）
roam	歩き回る／放浪する
fancy	高級な／派手な／気まぐれな好み
dairy	乳製品／酪農場
lawsuit	訴訟
fake	偽物／にせの／〜のふりをする
recipient	受取人／受ける人
definitely	確かに／間違いなく
slavery	奴隷制度／奴隷の身分
stability	安定（性）
chronic	慢性の／長期にわたる
clinical	臨床の／病床の・冷静な
outstanding	傑出した／目立った／未払いの
faith	信頼／信仰
bond	きずな／債券／接着・結びつけるもの
kidnap	誘拐する
allowance	手当て／小遣い／許容量
province	（国の）州・県／分野
loyalty	忠誠心／愛着
noticeable	目立つ／はっきりわかる
sector	部門／分野／（社会・経済の）セクター
highlight	強調する／ハイライト／見どころ
gender	性別（社会的な性）
enthusiastic	熱心な／熱中している
technically	技術的に／厳密に言えば
recognition	認識／評価・承認
firsthand	直接の／じかに
overestimate	過大評価する
consistency	一貫性／（液体の）かたさ・濃さ
eligible	資格のある／適格な
intermediate	中級の／中間の
deserve	〜に値する／〜して当然だ
invaluable	非常に貴重な／計り知れない価値のある
latitude	緯度／自由裁量の幅
tense	緊張した／張りつめた／（文法の）時制
outlet	はけ口／コンセント／販売店
compassion	思いやり／同情
returnee	帰国者／帰還者
offspring	子孫／子ども
debris	がれき／破片
peer	仲間／同年代の人
script	台本／手書き文字・原稿
convention	慣習／大会・集会／協定
discipline	規律／しつけ／学問分野
notable	注目すべき／顕著な／著名人
buildup	増加／蓄積／盛り上がり
acceptance	受け入れ／合格・受諾
outset	初め／最初
poll	世論調査／投票（数）
longevity	長寿／寿命の長さ
mortgage	住宅ローン／抵当
acclaim	絶賛（する）／賞賛
criterion	（判断の）基準
comprehensive	包括的な／総合的な
spell	つづる／期間／魔法
disband	解散する
excel	優れている／秀でる
leftover	残り物／食べ残し
prerequisite	前提条件／必須条件
humiliate	恥をかかせる／屈辱を与える
temper	気質／気分／怒り／和らげる
soar	急上昇する／空高く舞い上がる
rigorous	厳格な／厳密な
strenuous	骨の折れる／激しい
premise	前提／敷地
outlive	〜より長生きする／〜より長く持つ
expenditure	支出／出費
impersonal	人間味のない／非人格的な
speculation	推測／投機
